Categoria;Marca;Modelo;Versão;Motor;Tipo de Propulsão;Transmissão;Ar Condicionado;Direção Assistida;Combustível;Poluentes(NMOG+NOx [mg/km]);Poluentes(CO [mg/km]);Poluentes(CHO [mg/km]);Redução Relativa ao Limite;Gás Efeito Estufa (Etanol [CO2 fóssil] [g/km]);Gás Efeito Estufa (Gasolina ou Diesel [CO2 fóssil] [g/km]);Gás Efeito Estufa (VEHP [CO2 fóssil] [g/km]);Km - (Etanol[Cidade][km/l]);Km - (Etanol[Estrada][km/l]);Km - (Gasolina ou Diesel[Cidade][km/l]);Km - (Gasolina ou Diesel[Estrada][km/l]);Km - (Elétrico quando VE ou VEHP [Cidade][km/le]);Km - (Elétrico quando VE ou VEHP [Estrada][km/le]);Consumo Energético;Autonomia modo Elétrico;Classificação PBE (Comparação Relativa);Classificação PBE (Absoluta na Categoria);Selo CONPET de Eficiência Energética;
Médio;Hyundai;HB20S;PlatinumSafety;1.0-12VT;Combustão;A-6;S;E;F;29;109;3;A;0;100;\;8,8;10,3;12,5;14,2;\;\;1,60;\;B;C;-;
Médio;Hyundai;HB20S;Comfort (25MY);1.0-12V;Combustão;M-5;S;E;F;13;127;1;A;0;93;\;9,6;10,8;13,4;15,3;\;\;1,49;\;A;B;SIM;
Médio;Hyundai;HB20S;Limited(25MY);1.0-12V;Combustão;M-5;S;E;F;13;127;1;A;0;93;\;9,6;10,8;13,4;15,3;\;\;1,49;\;A;B;SIM;
Médio;Hyundai;HB20S;Comfort (25MY);1.0-12VT;Combustão;A-6;S;E;F;31;129;3;A;0;93;\;9,0;11,2;13,0;16,0;\;\;1,51;\;A;B;SIM;
Médio;Hyundai;HB20S;PlatinumSafety (25MY);1.0-12VT;Combustão;A-6;S;E;F;31;129;3;A;0;93;\;9,0;11,2;13,0;16,0;\;\;1,51;\;A;B;SIM;
Médio;JAC;e-JS4;e-JS4;Elétrico;Elétrico;A-1;S;E;E;ND;ND;ND;A;\;-;\;\;\;\;\;47,5;39,1;0,47;307;A;A;-;
Médio;KIA;STONIC;MHEVEX;1.0-12V;Híbrido;DCT-7;S;E;G;39;145;0;A;\;95;\;\;\;13,7;13,8;\;\;1,55;\;B;C;-;
Médio;KIA;STONIC;MHEV LX;1.0-12V;Híbrido;DCT-7;S;E;G;39;145;0;A;\;95;\;\;\;13,7;13,8;\;\;1,55;\;B;C;-;
Médio;KIA;STONIC;MHEV SX;1.0-12V;Híbrido;DCT-7;S;E;G;39;145;0;A;\;95;\;\;\;13,7;13,8;\;\;1,55;\;B;C;-;
Médio;KIA;STONIC;MHEV GT;1.0-12V;Híbrido;DCT-7;S;E;G;39;145;0;A;\;95;\;\;\;13,7;13,8;\;\;1,55;\;B;C;-;
Médio;Mercedes-Benz;AMGA354MATIC;;2.0-16V;Combustão;DCT-7;S;E;G;35;81;2;A;\;139;\;\;\;8,7;11,7;\;\;2,25;\;E;D;-;
Médio;Mercedes-Benz;A200AMGLINE;;1.3-16V;Híbrido;A-7;S;E;G;18;100;3;A;\;100;\;\;\;12,3;14,4;\;\;1,63;\;B;C;-;
Médio;MINI;Countryman;PHEV;1.5-12V;Plug-in;A-6;S;E;G;10;128;1;A;\;132;56;\;\;10,1;10,2;23,4;27,9;0,80;8;A;A;SIM;
Médio;MINI;Countryman;JCW;2.0-16V;Combustão;A-8;S;E;G;25;58;1;A;\;141;\;\;\;8,8;10,8;\;\;2,29;\;E;D;-;
Médio;Nissan;Versa;SENSE;1.6-16V;Combustão;CVT;S;E;F;28;204;2;B;0;102;\;8,1;10,5;11,8;15,0;\;\;1,66;\;B;C;-;
Médio;Nissan;Versa;EXCLUSIVE;1.6-16V;Combustão;CVT;S;E;F;28;204;2;B;0;102;\;8,1;10,5;11,8;15,0;\;\;1,66;\;B;C;-;
